symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,wt1,wt2,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,gap_pct,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,social_missing,continuation_score_v1,php_v0_admit,all_hours_admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple
SPT,2026-07-23 13:00:00-04:00,2026-07-23,14,0,7.32,7.37,7.305,7.36,True,False,10.0,-67.03887516885898,-67.94988577274661,-1.0856039458884366,green,0.4031,0.0337,0.1018,43.6,-0.0013140604467806406,0.008831521739130488,0.6153846153846122,0.8461538461538504,0.4913139665371705,403049.56924960006,5.0,0.04347826086956513,0.009442934782608771,1.0,0.11684782608695655,0.23913043478260854,1.6508152173913047,-0.08258024306637587,-0.00024450541987017384,-0.11534740043150861,1,0.0,0.003559,0.0,31.0,35.0,NEUTRAL,92.6,1,33.95,0,1,0,0.005435,0.007473,0,0,0,0.005435,0.10869999999999999
SPT,2026-07-29 09:00:00-04:00,2026-07-29,10,0,8.72,8.96,8.68,8.96,False,True,47.12,49.73085452538281,49.819361087057636,1.845485847220637,green,0.2509,0.16,0.0866,46.1,0.004608294930875683,0.031250000000000125,0.8571428571428544,1.0,0.8295957232864656,881158.7906060801,1.0,0.0,0.031250000000000125,1.0,0.1863281250000001,0.017857142857142672,1.1774553571428572,0.093016163464471,0.19603812371519375,0.0876228279407391,1,0.0,0.0043525000000000005,0.0,32.0,36.2,NEUTRAL,88.9,1,26.53,0,1,0,0.006696,0.017857,0,0,0,0.006696,0.13391999999999998
SPT,2026-07-29 10:00:00-04:00,2026-07-29,11,1,8.95,9.02,8.85,8.88,True,False,54.17,50.740662602811014,49.92768249727814,1.1421179774957613,red,0.2509,0.16,0.0866,46.1,0.004608294930875683,0.019144144144144136,0.4117647058823443,0.17647058823530087,1.4337235829856665,1579373.7555652799,2.0,0.01576576576576563,0.02252252252252264,0.0,0.17899774774774785,0.027027027027026848,1.197072072072072,0.08325709057639537,0.18535921189630808,0.07791190983412535,1,0.0,0.005146,0.0,33.0,35.0,NEUTRAL,89.3,1,58.03,1,1,0,0.013514,0.009009,0,0,0,0.013514,0.27027999999999996
SPT,2026-07-29 14:00:00-04:00,2026-07-29,15,0,8.89,9.0,8.875,8.93,False,True,49.79,48.15094722403239,48.67996314947146,0.7182186969012674,yellow,0.2509,0.16,0.0866,46.1,0.004608294930875683,0.013997760358342666,0.3199999999999932,0.4399999999999977,1.0727909257166064,1211270.3091923401,6.0,0.010078387458006703,0.027995520716685332,1.0,0.1835946248600224,0.021276595744680795,1.1847704367301235,0.08935651113144251,0.19203353178311147,0.08398123365075881,1,0.0,0.0052905,0.0,34.0,36.2,NEUTRAL,95.3,1,35.26,0,0,0,0.004479,0.014558,0,0,0,0.004479,0.08958
SPT,2026-07-31 09:00:00-04:00,2026-07-31,10,0,8.33,8.63,8.33,8.58,True,False,64.34,-4.770864682078912,-5.676195346599096,0.4535121904530651,green,0.2509,0.1171,0.0763,41.8,-0.01478415138971023,0.03496503496503505,0.8333333333333314,0.8333333333333314,0.554353042350182,577341.6791999999,1.0,0.00582750582750591,0.029137529137529136,4.0,0.15029137529137532,0.06293706293706283,1.2354312354312353,0.035606517803258894,0.13164246428995383,0.044857001942362536,1,0.0,0.005146,0.0,35.0,25.0,NEUTRAL,69.9,1,-5.43,0,0,0,0.001166,0.036119,0,0,0,0.001166,0.023319999999999997
SPT,2026-07-31 13:00:00-04:00,2026-07-31,14,0,8.44,8.55,8.44,8.445,True,False,57.2,-6.375994395629013,-7.967038765236632,0.25424758009596016,orange,0.2509,0.1171,0.0763,41.8,-0.01478415138971023,0.0130254588513915,0.04545454545455206,0.04545454545455206,1.3433663410729206,1369843.096629495,5.0,0.021906453522794612,0.020710479573712366,3.0,0.1367081113084666,0.07992895204262865,1.2711663706335108,0.019312009656004846,0.1138369010406364,0.028416944219493225,1,0.0,0.004812500000000001,0.0,36.0,25.0,NEUTRAL,66.4,1,-4.81,0,0,0,0.01717,0.002368,0,0,0,0.01717,0.3434
SPT,2026-08-04 10:00:00-04:00,2026-08-04,11,1,8.73,8.79,8.65,8.65,False,True,31.63,16.95437622715934,17.421577712446776,-0.31264653768995854,red,0.2509,0.117,0.0567,41.8,-0.001753360607831744,0.016184971098265756,0.5714285714285768,0.0,0.770850959189967,654251.5638742499,3.0,0.017341040462427786,0.026589595375722593,0.0,0.15716763005780354,0.054335260115606805,1.0127167630057803,0.038976638039757205,0.13011327262512912,0.05654016684784616,1,0.0,0.005146,0.0,37.0,46.6,NEUTRAL,101.1,1,67.91,1,1,0,0.024277,0.002312,0,0,0,0.024277,0.48553999999999997
SPT,2026-08-04 11:00:00-04:00,2026-08-04,12,1,8.64,8.705,8.63,8.685,True,False,42.85,17.330543222846394,15.87254174375768,0.1789184606057657,green,0.2509,0.117,0.0567,41.8,-0.001753360607831744,0.00863557858376503,0.6000000000000048,0.7333333333333365,0.956056332863945,820693.738836315,4.0,0.013241220495106528,0.030512377662636793,1.0,0.1605641911341394,0.0500863557858375,1.0046056419113414,0.043180589754368955,0.13468598528893022,0.060815184863993524,1,0.0,0.0052905,0.0,38.0,40.4,NEUTRAL,89.6,1,63.66,1,1,0,0.02015,0.00403,0,0,0,0.02015,0.403
SPT,2026-08-05 13:00:00-04:00,2026-08-05,14,0,8.71,8.755,8.695,8.73,False,True,30.67,25.047080805196682,29.428560533485353,0.09090381485724537,yellow,0.2509,0.1371,0.0481,43.4,0.016036655211912804,0.006872852233677032,0.3333333333333235,0.5833333333333308,0.42714227828725687,354146.65899165004,5.0,0.01718213058419248,0.01145475372279492,2.0,0.16489117983963353,0.044673539518900206,0.9942726231386024,0.04519604908709961,0.1344586955674244,0.0679160346430495,1,0.0,0.005435,0.0,39.0,44.2,NEUTRAL,104.5,1,35.29,0,1,0,0.001718,0.014318,0,0,0,0.001718,0.034359999999999995
SPT,2026-08-06 15:00:00-04:00,2026-08-06,16,0,8.09,8.215,8.06,8.17,False,True,30.77,-47.68828435201933,-45.740688995527464,-0.4599706875585976,green,0.2509,0.1162,0.0448,40.6,-0.049332559489262996,0.01897184822521412,0.516129032258067,0.709677419354838,4.751134706396013,5572815.988217,7.0,0.020807833537331694,0.017135862913096767,2.0,0.10764993880048962,0.11627906976744178,1.130966952264382,-0.02529229300882862,0.05671603181788791,0.0007533210433802529,1,0.0,0.0052905,0.0,40.0,44.4,NEUTRAL,94.8,1,57.52,0,0,0,0.0,0.0,0,0,0,0.0,0.0
SPT,2026-08-07 06:00:00-04:00,2026-08-07,7,1,9.13,9.5,9.13,9.41,True,False,52.69,-26.55280088347659,-42.05415888332429,2.0,green,0.2509,0.0556,0.0396,33.5,0.1175030599755203,0.03931987247608918,0.7567567567567566,0.7567567567567566,0.041287531349846945,54421.17304351,1.0,0.009564293304994672,0.02975557917109451,3.0,0.2252391073326249,-0.0308182784272052,0.8501594048884166,0.12391758733950428,0.21286331120706314,0.15428256002943994,0,0.0,0.005146,0.0,41.0,35.0,NEUTRAL,66.6,1,27.08,1,1,1,0.111583,0.001063,1,1,0,0.111583,1.0
SPT,2026-08-11 10:00:00-04:00,2026-08-11,11,1,10.27,10.395,10.245,10.385,True,False,61.77,27.616401819204178,26.530759905183963,0.7424410962289132,green,0.4485,0.2735,0.0496,63.2,0.00997008973080772,0.01444390948483393,0.7666666666666663,0.9333333333333349,0.6669738748394116,2349049.3215064746,2.0,0.0009629272989889058,0.036591237361579106,2.0,0.2979778526721233,0.016851227732306278,0.5435724602792491,0.21461988304093554,0.3159728822150415,0.27514059084992976,1,0.0,0.0052905,0.023809523809523808,42.0,25.0,NEUTRAL,91.8,1,14.28,0,0,0,0.000963,0.047665,0,0,0,0.000963,0.01926
