symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,continuation_score_v1,admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple
HOOD,2026-07-06 10:00:00-04:00,2026-07-06,11,1,114.42,115.5,113.83,115.22,True,False,46.79,0.30403526462161967,yellow,0.521,0.302,0.1235,68.1,0.014494011456344399,0.4790419161676625,0.8323353293413168,1.4305165724634619,380737152.07384676,7.0,0.002430133657351164,0.034889776080541536,2.0,0.314962680090262,0.0419198055893074,0.3353575768095818,0.186996811530002,0.3307216294814556,0.12551488618472495,1,0.0,0.025792999999999996,0.2857142857142857,28.0,41.2,NEUTRAL,122.9,75.87,1,0,0.029769,0.00026,0,0,0,0.029769,0.59538
HOOD,2026-07-08 07:00:00-04:00,2026-07-08,8,0,108.385,109.8,108.1076,109.3715,False,True,11.49,-2.0,green,0.521,0.2865,0.1178,68.1,0.01547386659230231,0.5829000236350727,0.7468092649491836,0.12644958686285473,14111380.688679948,4.0,0.023941337551373048,0.02524880796185476,2.0,0.27833119231243963,0.09763512432397836,0.40676410216555514,0.09315748968026287,0.2463392065564953,0.06867513996428204,1,0.0,0.029769,0.27586206896551724,29.0,30.0,NEUTRAL,111.8,34.92,1,0,0.043508,0.004768,1,0,0,0.043508,0.8701599999999999
HOOD,2026-07-08 08:00:00-04:00,2026-07-08,9,0,108.85,110.28,108.85,109.46,True,False,11.84,-1.6387514588707608,yellow,0.521,0.2865,0.1178,68.1,0.013064133016627141,0.4265734265734241,0.4265734265734241,0.12244287379435487,13676078.56062448,5.0,0.023113466106340227,0.02603690845971126,3.0,0.2789146720263109,0.09674767038187469,0.4056267129545041,0.094042038560334,0.24734770529501718,0.06953987849202313,1,0.0,0.030663999999999997,0.26666666666666666,30.0,35.0,NEUTRAL,123.7,43.14,1,0,0.042664,0.005207,1,0,0,0.042664,0.8532799999999999
HOOD,2026-07-10 04:00:00-04:00,2026-07-10,5,0,115.5,116.4562,115.3572,116.3,True,False,30.39,0.10792597566810412,green,0.4278,0.294,0.1183,61.9,0.00944969905417016,0.7279344858962736,0.8578707916287536,0.07344917319491095,7184819.448591701,1.0,0.0013430782459157209,0.00810662080825444,4.0,0.2770421324161651,0.03224419604471195,0.3229570077386072,0.12866050416090458,0.3074202563577949,0.13732127590235743,1,0.0,0.031559,0.25806451612903225,31.0,48.5,NEUTRAL,120.3,36.67,1,0,0.027945,0.064402,0,0,1,0.027945,-1.0
HOOD,2026-07-13 07:00:00-04:00,2026-07-13,8,0,110.7004,111.73,110.7004,111.45,False,True,23.88,-0.2715235005162023,green,0.4005,0.2503,0.1217,60.0,0.009238223418573369,0.7280497280497275,0.7280497280497275,0.044244378904401443,6047776.58298375,4.0,0.002512337371018404,0.02054733064154335,1.0,0.23086585912965457,0.07716464782413633,0.3805284881112607,0.06831667034115195,0.24453109820238123,0.0905811026122326,1,0.0,0.030663999999999997,0.25,32.0,36.2,NEUTRAL,107.4,33.06,1,0,0.020188,0.028264,0,0,0,0.020188,0.40376
HOOD,2026-07-13 08:00:00-04:00,2026-07-13,9,0,111.44,111.75,111.08,111.36,True,False,24.07,-0.3625859530096543,orange,0.4005,0.2503,0.1217,60.0,0.006016522988505762,0.11940298507462402,0.4179104477611947,0.06359423615150141,8691455.386398721,5.0,0.0035021551724137984,0.019755747126436806,0.0,0.23024425287356323,0.07803520114942526,0.38164421695402306,0.06745396508919406,0.24352609327785704,0.08970041800716212,1,0.0,0.029769,0.24242424242424243,33.0,41.2,NEUTRAL,107.4,29.29,1,0,0.021013,0.027478,0,0,0,0.021013,0.42025999999999997
HOOD,2026-07-13 10:00:00-04:00,2026-07-13,11,1,109.71,112.4499,109.56,111.36,False,True,66.57,0.46512270090821173,green,0.4005,0.2503,0.1217,60.0,0.02595096982758618,0.5709540122495613,0.6228589224540637,2.232590751080498,392732701.35187197,7.0,0.02101293103448279,0.021910919540229865,1.0,0.23024425287356323,0.07803520114942526,0.38164421695402306,0.06745396508919406,0.24352609327785704,0.08970041800716212,1,0.0,0.028857,0.23529411764705882,34.0,0.0,NEUTRAL,62.7,32.01,0,0,0.001347,0.027478,0,0,0,0.001347,0.026940000000000002
HOOD,2026-07-14 04:00:00-04:00,2026-07-14,5,0,110.35,111.13,109.5725,110.74,True,False,46.32,0.5699639129820928,yellow,0.3306,0.2163,0.1228,55.4,0.014064475347661101,0.2504012841091512,0.7495987158908488,0.06674733941408638,5912252.24087848,1.0,0.0035217626873758406,0.010542712660285261,1.0,0.18529799530431637,0.08407079646017701,0.3893796279573778,0.05261657058395804,0.22601716025463595,0.08450050080047276,1,0.0,0.027945,0.22857142857142856,35.0,41.2,NEUTRAL,110.3,41.54,1,0,0.033953,0.014855,1,0,0,0.033953,0.6790599999999999
HOOD,2026-07-15 08:00:00-04:00,2026-07-15,9,0,113.55,114.68,113.16,114.55,False,True,47.76,0.8383241159878422,green,0.2936,0.2448,0.1291,52.9,0.01326931470973383,0.6578947368421009,0.9144736842105206,0.10540112646024326,10088881.873192549,5.0,0.0011348756001746806,0.01213443910955915,1.0,0.189873417721519,0.04801396769969446,0.3431680488869491,0.07844752512533242,0.2569099874693043,0.12254645081044092,1,0.0,0.028857,0.2222222222222222,36.0,36.2,NEUTRAL,95.5,28.94,1,0,0.017896,0.021213,0,0,0,0.017896,0.35791999999999996
HOOD,2026-07-15 11:00:00-04:00,2026-07-15,12,1,113.6301,115.7,113.34,114.96,True,False,63.58,0.6604316022284075,green,0.2936,0.2448,0.1291,52.9,0.02052887961029923,0.5635169491525404,0.6864406779660978,1.9962022389665923,293983444.57551754,8.0,0.014265831593597778,0.024704244954766783,2.0,0.1927627000695894,0.044276270006958975,0.33837769659011846,0.0823075293619224,0.2614087486640875,0.12656429493817795,1,0.0,0.027945,0.21621621621621623,37.0,25.0,NEUTRAL,81.2,32.71,0,0,0.009916,0.019311,0,0,0,0.009916,0.19831999999999997
